Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,12.805335,12.848890,11.934224,12.239113,7.847960,155128297
2005-02-01,12.152001,12.718224,11.977779,12.500446,8.015533,155482653
2005-03-01,12.369779,13.153779,12.021335,12.805335,8.211029,270833946
2005-04-01,12.718224,12.936002,12.413335,12.892446,8.266890,137461211
2005-05-01,12.892446,13.066668,12.152001,12.282668,7.875889,131266130
2005-06-01,12.195557,12.500446,12.108446,12.326224,8.150811,87339055
2005-07-01,12.326224,12.805335,12.064890,12.587557,8.323620,114370368
2005-08-01,12.631113,12.761779,11.890668,12.500446,8.266020,141027444
2005-09-01,12.369779,12.369779,11.716446,12.021335,7.949200,126877974
2005-10-01,12.064890,12.064890,10.409779,10.627557,7.126882,153684853
2005-11-01,10.627557,11.847113,10.627557,11.716446,7.857099,137934564
2005-12-01,11.716446,12.021335,11.455112,11.847113,7.944721,81661401
2006-01-01,11.847113,12.631113,11.803557,12.326224,8.266019,147717786
2006-02-01,12.587557,12.631113,12.064890,12.544002,8.412061,135605680
2006-03-01,12.587557,12.631113,11.803557,11.847113,7.944721,154538517
2006-04-01,11.890668,12.413335,11.847113,12.108446,8.119973,137598158
2006-05-01,12.108446,12.195557,11.106668,11.106668,7.448178,178049738
2006-06-01,11.324446,12.413335,11.019557,11.847113,8.107453,254936592
2006-07-01,11.847113,12.195557,11.542224,12.125868,8.298214,123314246
2006-08-01,12.195557,12.700802,11.986490,12.648535,8.655897,132258070
2006-09-01,12.648535,14.268802,12.544002,13.937780,9.671582,172116820
2006-10-01,13.937780,15.105069,13.711291,14.791469,10.263966,159209311
2006-11-01,14.983113,16.951824,14.634669,16.011024,11.329147,135831085
2006-12-01,16.080713,16.847292,15.331558,16.725336,11.834584,89526616
2007-01-01,16.725336,19.251558,15.871646,17.552891,12.420150,291583335
2007-02-01,17.640001,19.251558,16.690491,16.969248,12.007173,105759375
2007-03-01,16.969248,17.857780,16.028446,17.160891,12.142776,177210384
2007-04-01,17.317692,18.728891,16.847292,17.857780,12.635885,76856673
2007-05-01,17.857780,18.206224,17.004091,18.162668,12.851618,132113701
2007-06-01,17.814224,18.119114,16.638224,16.951824,12.185051,137850724
2007-07-01,16.951824,18.511114,16.603380,17.988447,12.930180,210460836
2007-08-01,17.944891,19.338669,16.115559,17.814224,12.804946,287393033
2007-09-01,17.901337,20.079115,16.829868,18.511114,13.472200,196429848
2007-10-01,18.511114,20.906670,17.509336,19.904892,14.486569,239980434
2007-11-01,20.340446,20.340446,15.662580,17.814224,12.965008,245563589
2007-12-01,18.162668,18.249781,16.812447,17.727114,12.901609,118431943
2008-01-01,17.727114,17.857780,14.547557,15.105069,10.993313,209570900
2008-02-01,15.331558,15.680002,13.519646,14.146846,10.295930,168661775
2008-03-01,13.868091,14.826313,12.038757,13.293157,9.674622,260182322
2008-04-01,13.902935,14.875966,13.171202,14.164268,10.308607,252800304
2008-05-01,14.164268,14.983113,12.979557,14.286224,10.776272,270279977
2008-06-01,14.112002,14.983113,12.561424,12.944713,9.764354,210754448
